Weight,Calibration,Randomization Ratio,Equivalence Margin,Split Ratio,Cost,N,N_t,Power_Reference,Cost,,Power_-0.6,Power_-0.55,Power_-0.5,Power_-0.45,Power_-0.4,Power_-0.35,Power_-0.3,Power_-0.25,Power_-0.2,Power_-0.15,Power_-0.1,Power_-0.05,Power_0.0,Power_0.05,Power_0.1,Power_0.15,Power_0.2,Power_0.25,Power_0.3,Power_0.35,Power_0.4,Power_0.45,Power_0.5,Power_0.55,Power_0.6,,TypeIError_-0.6,TypeIError_-0.55,TypeIError_-0.5,TypeIError_-0.45,TypeIError_-0.4,TypeIError_-0.35,TypeIError_-0.3,TypeIError_-0.25,TypeIError_-0.2,TypeIError_-0.15,TypeIError_-0.1,TypeIError_-0.05,TypeIError_0.0,TypeIError_0.05,TypeIError_0.1,TypeIError_0.15,TypeIError_0.2,TypeIError_0.25,TypeIError_0.3,TypeIError_0.35,TypeIError_0.4,TypeIError_0.45,TypeIError_0.5,TypeIError_0.55,TypeIError_0.6,Beta_-0.6,Beta_-0.55,Beta_-0.5,Beta_-0.45,Beta_-0.4,Beta_-0.35,Beta_-0.3,Beta_-0.25,Beta_-0.2,Beta_-0.15,Beta_-0.1,Beta_-0.05,Beta_0.0,Beta_0.05,Beta_0.1,Beta_0.15,Beta_0.2,Beta_0.25,Beta_0.3,Beta_0.35,Beta_0.4,Beta_0.45,Beta_0.5,Beta_0.55,Beta_0.6
0.005,1,0.9,0.2726,0,-333.2755,556,500,0.8028,-333.2755,,0.8178,0.8178,0.8178,0.8178,0.8178,0.8178,0.8178,0.8178,0.8178,0.8178,0.8185,0.8226,0.8328,0.837,0.8139,0.7832,0.7837,0.8028,0.8144,0.8174,0.8177,0.8178,0.8178,0.8178,0.8178,,0.0568,0.0568,0.0568,0.0572,0.0592,0.0647,0.0699,0.0662,0.0571,0.0535,0.055,0.0564,0.0567,0.0564,0.055,0.0535,0.0571,0.0662,0.0699,0.0647,0.0592,0.0572,0.0568,0.0568,0.0568,0.0001,0.0006,0.0018,0.0054,0.014,0.0326,0.0673,0.1241,0.2042,0.3004,0.3955,0.4663,0.4926,0.4663,0.3955,0.3004,0.2042,0.1241,0.0673,0.0326,0.014,0.0054,0.0018,0.0006,0.0001
0.005,1,0.9,0.2627,0,-332.5101,556,500,0.8028,-332.5101,,0.8138,0.8138,0.8138,0.8138,0.8138,0.8138,0.8138,0.8138,0.8138,0.8138,0.8143,0.8173,0.8251,0.8284,0.8102,0.7873,0.7892,0.8038,0.8118,0.8136,0.8138,0.8138,0.8138,0.8138,0.8138,,0.0549,0.0549,0.0549,0.0551,0.0565,0.0604,0.0642,0.0614,0.0548,0.0525,0.0537,0.0546,0.0548,0.0546,0.0537,0.0525,0.0548,0.0614,0.0642,0.0604,0.0565,0.0551,0.0549,0.0549,0.0549,0.0001,0.0004,0.0015,0.0044,0.0116,0.0274,0.0577,0.108,0.1802,0.2681,0.3558,0.4216,0.4461,0.4216,0.3558,0.2681,0.1802,0.108,0.0577,0.0274,0.0116,0.0044,0.0015,0.0004,0.0001
0.005,1,0.8998,0.2728,0,-332.7822,555,499,0.8027,-332.7822,,0.8178,0.8178,0.8178,0.8178,0.8178,0.8178,0.8178,0.8178,0.8178,0.8178,0.8185,0.8226,0.8328,0.8371,0.8139,0.7831,0.7835,0.8027,0.8144,0.8174,0.8177,0.8178,0.8178,0.8178,0.8178,,0.0568,0.0568,0.0569,0.0572,0.0592,0.0648,0.07,0.0663,0.0571,0.0535,0.055,0.0564,0.0567,0.0564,0.055,0.0535,0.0571,0.0663,0.07,0.0648,0.0592,0.0572,0.0569,0.0568,0.0568,0.0001,0.0006,0.0018,0.0054,0.0141,0.0327,0.0675,0.1244,0.2046,0.301,0.3962,0.467,0.4933,0.467,0.3962,0.301,0.2046,0.1244,0.0675,0.0327,0.0141,0.0054,0.0018,0.0006,0.0001
0.005,2,0.8998,0.1123,0,-329.7726,555,499,0.8027,-329.7726,,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,2,0.9,0.1257,0,-330.2804,556,500,0.8028,-330.2804,,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,2,0.9,0.1571,0,-330.2804,556,500,0.8028,-330.2804,,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,2,0.8998,0.1316,0,-329.7726,555,499,0.8027,-329.7726,,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,3,0.8999,0.1211,0.6544,-329.7726,555,499,0.8027,-329.7726,,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,3,0.9,0.1442,0.802,-330.2804,556,500,0.8028,-330.2804,,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,3,0.9,0.1673,0.4067,-330.2804,556,500,0.8028,-330.2804,,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
